region,selectivity,method,grp,metric,value
Core,10,cuckoo,BRANCH,Branchmispredictionrate,0.0002
Core,20,cuckoo,BRANCH,Branchmispredictionrate,0.000211881188118812
Core,30,cuckoo,BRANCH,Branchmispredictionrate,0.0001
Core,40,cuckoo,BRANCH,Branchmispredictionrate,0.0001
Core,50,cuckoo,BRANCH,Branchmispredictionrate,0.0001
Core,60,cuckoo,BRANCH,Branchmispredictionrate,8.00819979207921e-05
Core,70,cuckoo,BRANCH,Branchmispredictionrate,4.47885011881188e-05
Core,80,cuckoo,BRANCH,Branchmispredictionrate,2.21763969306931e-05
Core,90,cuckoo,BRANCH,Branchmispredictionrate,1.19287604356436e-05
Core,10,cuckoo,BRANCH,Branchmispredictionratio,0.00134257425742574
Core,20,cuckoo,BRANCH,Branchmispredictionratio,0.00116930693069307
Core,30,cuckoo,BRANCH,Branchmispredictionratio,0.000827722772277227
Core,40,cuckoo,BRANCH,Branchmispredictionratio,0.000602970297029705
Core,50,cuckoo,BRANCH,Branchmispredictionratio,0.000476237623762376
Core,60,cuckoo,BRANCH,Branchmispredictionratio,0.000307920792079209
Core,70,cuckoo,BRANCH,Branchmispredictionratio,0.000277227722772277
Core,80,cuckoo,BRANCH,Branchmispredictionratio,0.000137623762376238
Core,90,cuckoo,BRANCH,Branchmispredictionratio,7.89991921782179e-05
Core,10,cuckoo,BRANCH,Branchrate,0.164156435643564
Core,20,cuckoo,BRANCH,Branchrate,0.163880198019802
Core,30,cuckoo,BRANCH,Branchrate,0.163503960396039
Core,40,cuckoo,BRANCH,Branchrate,0.163107920792079
Core,50,cuckoo,BRANCH,Branchrate,0.162810891089109
Core,60,cuckoo,BRANCH,Branchrate,0.162493069306931
Core,70,cuckoo,BRANCH,Branchrate,0.162133663366337
Core,80,cuckoo,BRANCH,Branchrate,0.161892079207921
Core,90,cuckoo,BRANCH,Branchrate,0.161516831683169
Core,10,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23393882.7722772
Core,20,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23384466.039604
Core,30,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23385204.4554455
Core,40,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23380543.960396
Core,50,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23364604.4554455
Core,60,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23384982.3762376
Core,70,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23373444.1584158
Core,80,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23368845.8415842
Core,90,cuckoo,BRANCH,BR_INST_RETIRED_ALL_BRANCHES,23367419.7029703
Core,10,cuckoo,BRANCH,BR_MISP_RETIRED_ALL_BRANCHES,31529.4158415842
Core,20,cuckoo,BRANCH,BR_MISP_RETIRED_ALL_BRANCHES,26818.5148514851
Core,30,cuckoo,BRANCH,BR_MISP_RETIRED_ALL_BRANCHES,19623.3564356436
